City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,28,8,16,0.2,4,88,41,4
阿克苏地区,49,7,48,0.5,16,97,85,4
阿拉善盟,69,16,30,0.57,6,155,121,8
阿勒泰地区,40,3,13,0.25,7,109,79,4
阿里地区,49,6,13,0.4,8,101,96,10
安康,28,5,7,0.33,8,59,55,4
安庆,40,12,24,0.52,6,99,78,5
鞍山,79,38,55,1.09,10,179,133,8
安顺,24,12,16,0.28,3,63,47,6
安阳,50,24,49,0.64,6,132,76,3
白城,35,8,16,0.3,3,84,69,6
百色,17,8,16,0.5,5,43,30,4
白山,41,18,25,0.7,5,106,80,7
白银,39,10,34,0.5,15,122,70,12
保定,74,11,30,0.32,13,178,115,9
宝鸡,43,13,29,0.26,11,135,78,4
保山,33,11,30,0.35,9,93,64,4
包头,56,35,60,0.83,14,163,88,18
巴彦淖尔,63,31,56,1.0,13,169,84,17
巴中,35,13,23,0.55,7,110,46,4
北海,18,10,17,0.73,8,37,30,5
北京,107,24,47,0.61,13,211,124,2
蚌埠,89,38,75,0.57,14,190,97,13
本溪,51,20,35,1.5,29,114,100,15
毕节,31,21,30,0.4,9,87,34,10
滨州,88,65,0,1.03,13,173,110,7
博州,44,15,43,0.2,7,102,61,8
亳州,38,15,29,0.85,5,113,75,3
沧州,84,21,50,0.53,12,156,139,9
长春,49,16,26,0.7,11,119,96,2
常德,35,20,32,0.62,3,110,64,3
昌都,32,5,23,0.7,10,100,56,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,66,24,79,0.7,22,124,57,16
长沙,35,17,25,0.51,4,106,69,5
常熟,32,10,22,0.4,19,101,50,0
长治,83,51,108,1.63,14,185,76,13
常州,40,22,39,0.64,24,97,57,10
朝阳,65,14,41,0.93,9,171,99,13
潮州,24,7,22,0.63,2,62,47,6
承德,55,15,43,0.78,15,163,65,8
成都,70,50,85,0.82,36,137,63,5
郴州,22,9,21,0.32,5,54,38,3
赤峰,33,10,32,0.98,19,102,51,28
池州,44,18,35,0.43,14,139,81,9
重庆,34,16,32,0.69,24,106,43,8
崇左,22,12,21,0.45,4,46,33,4
楚雄州,27,10,15,0.55,6,82,53,9
滁州,104,45,74,0.88,10,206,101,11
大连,55,14,25,0.6,11,145,104,7
大理州,31,11,13,0.55,9,71,60,4
丹东,43,9,16,0.4,3,93,85,3
大庆,31,9,14,0.4,5,69,61,3
大同,56,17,59,0.83,15,161,83,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,53,25,54,0.55,5,50,42,5
达州,44,17,43,0.4,16,105,52,9
德宏州,24,9,23,0.65,10,50,21,29
德阳,41,18,40,0.6,9,106,74,3
德州,61,25,43,0.53,6,147,112,5
定西,47,4,8,0.25,3,117,93,4
迪庆州,40,2,17,0.4,9,89,79,6
东莞,21,9,12,0.48,16,47,41,5
东营,108,59,86,1.05,11,213,123,12
鄂尔多斯,78,22,54,0.8,16,181,98,14
恩施州,46,18,45,0.8,6,99,34,3
鄂州,52,24,52,0.67,10,144,79,8
防城港,39,13,38,0.57,9,52,44,5
佛山,16,6,13,0.66,22,32,30,4
抚顺,67,39,49,0.86,8,164,119,10
阜新,52,13,23,0.6,6,138,101,4
阜阳,48,7,35,0.37,15,150,93,3
富阳,0,0,0,0.0,0,0,0,0
福州,25,12,24,0.48,5,62,32,3
抚州,22,7,21,0.46,3,68,37,7
甘南州,37,0,0,0.0,4,116,50,6
赣州,25,12,24,0.86,4,57,43,4
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,33,9,28,0.25,9,103,45,12
广安,42,13,24,0.5,5,132,81,3
广元,33,9,17,0.55,11,102,57,12
广州,17,6,12,0.51,19,34,32,4
贵港,24,11,23,0.38,8,43,40,5
桂林,30,14,29,0.67,10,68,49,7
贵阳,34,17,33,0.47,7,66,37,5
果洛州,38,23,35,0.6,10,119,74,5
固原,44,9,26,0.63,7,117,86,7
哈尔滨,33,8,18,0.47,7,77,65,7
海北州,58,10,11,0.9,6,156,108,5
海东地区,42,9,31,0.5,24,131,66,12
海口,33,23,8,0.57,6,40,34,4
海门,32,12,29,0.6,16,101,53,11
海南州,63,9,10,0.4,2,145,114,7
海西州,89,7,41,0.8,18,156,145,11
哈密地区,53,31,54,0.6,9,131,94,4
邯郸,59,36,48,0.55,6,135,109,3
杭州,33,8,22,0.41,7,103,56,3
汉中,43,4,10,0.43,4,111,84,5
鹤壁,42,28,32,0.3,7,133,72,6
河池,27,15,26,0.6,7,59,37,7
合肥,105,33,64,0.79,18,208,114,5
鹤岗,34,5,7,0.5,2,82,67,5
黑河,36,10,35,0.33,6,68,52,11
衡水,56,24,48,0.5,6,142,106,1
衡阳,31,17,28,0.47,2,74,61,6
和田地区,173,110,293,0.75,13,74,76,8
河源,18,5,13,0.53,5,50,34,5
菏泽,35,18,34,0.6,6,109,57,8
贺州,16,6,15,0.7,5,47,26,6
红河州,61,41,70,0.43,7,96,42,12
淮安,57,21,51,0.6,10,164,92,5
淮北,37,12,20,0.53,3,91,73,5
怀化,43,19,42,1.13,6,104,52,4
淮南,99,31,63,0.87,10,198,110,12
黄冈,53,31,53,0.65,5,124,86,8
黄南州,43,11,23,0.7,25,123,84,4
黄山,32,4,14,0.3,14,70,63,8
黄石,48,19,47,0.75,10,118,70,9
呼和浩特,50,21,34,0.79,11,156,78,8
惠州,23,4,11,0.44,12,43,44,5
葫芦岛,66,9,17,0.63,8,170,117,4
呼伦贝尔,39,27,29,0.45,4,81,56,2
湖州,58,40,64,0.67,44,99,51,13
佳木斯,43,11,18,0.5,5,91,84,8
吉安,40,18,39,0.77,3,82,61,8
江门,31,9,30,0.7,22,39,30,7
江阴,84,16,32,0.57,18,186,78,9
胶南,49,31,48,0.7,0,119,72,2
胶州,34,10,19,0.2,20,105,46,6
焦作,51,29,50,0.43,12,129,92,6
嘉兴,30,11,29,0.37,5,91,43,2
嘉峪关,55,17,57,0.65,12,137,79,9
揭阳,35,7,34,0.63,8,64,46,5
吉林,61,27,37,0.77,7,138,112,5
即墨,47,22,46,0.45,14,124,77,5
济南,39,14,26,0.47,10,123,69,6
金昌,43,8,36,0.53,6,126,85,6
晋城,38,12,29,0.48,4,119,65,5
景德镇,19,4,16,0.5,3,53,36,4
荆门,52,27,51,0.74,17,78,45,4
荆州,44,21,39,0.5,7,139,66,3
金华,23,9,22,0.3,4,69,40,2
济宁,24,9,23,0.5,14,53,39,10
金坛,50,21,42,0.95,11,157,87,10
晋中,106,20,47,0.63,13,210,116,14
锦州,72,19,47,0.8,11,176,99,14
九江,33,20,29,0.47,5,99,65,6
酒泉,41,8,38,0.6,13,128,81,6
鸡西,39,12,29,0.33,6,90,76,5
句容,50,15,35,0.4,12,159,77,4
开封,61,27,70,0.57,13,114,74,5
喀什地区,84,60,115,0.5,16,99,67,6
克拉玛依,45,10,44,0.6,19,120,88,6
克州,76,25,100,0.6,12,97,86,4
库尔勒,69,17,85,1.0,15,100,86,6
昆明,27,17,19,0.57,12,82,52,9
昆山,27,6,24,0.4,10,85,45,9
来宾,56,23,60,0.9,19,55,25,23
莱芜,88,65,99,0.67,18,89,77,10
莱西,30,15,20,0.7,5,91,58,3
莱州,49,9,29,0.6,14,0,97,6
廊坊,101,13,35,0.35,13,200,130,2
兰州,45,12,41,0.57,22,140,75,7
拉萨,35,9,27,0.54,24,54,68,12
乐山,40,20,32,0.5,9,127,47,6
凉山州,69,49,57,1.12,17,74,31,34
连云港,43,25,42,0.96,13,116,81,5
聊城,47,28,46,0.7,8,131,84,5
辽阳,61,36,59,1.0,10,139,112,6
辽源,75,37,49,1.1,9,158,128,7
丽江,31,12,19,0.67,24,77,60,10
临安,14,5,10,0.3,3,43,24,3
临沧,25,16,17,0.5,8,75,49,5
临汾,100,42,77,1.18,13,199,118,29
临夏州,37,7,21,0.4,6,116,61,5
临沂,35,7,18,0.53,29,59,68,4
林芝,18,7,6,0.4,6,53,34,7
林芝地区,18,4,16,0.35,6,51,35,3
丽水,17,6,14,0.37,4,53,28,5
六盘水,24,12,23,0.15,6,67,42,8
柳州,44,22,43,0.72,15,61,30,12
溧阳,55,15,31,0.65,12,163,91,4
陇南,45,4,9,0.35,10,108,88,9
龙岩,15,5,14,0.35,7,38,18,5
娄底,41,23,40,0.66,7,125,74,6
六安,39,8,38,0.6,8,122,73,5
漯河,45,14,37,0.48,8,143,67,5
洛阳,53,24,51,0.53,14,161,82,4
泸州,46,23,45,1.23,17,121,44,7
吕梁,84,27,53,0.8,20,186,73,17
马鞍山,52,19,40,0.54,12,150,101,6
茂名,20,3,8,0.4,8,41,39,3
眉山,37,17,36,0.65,18,112,55,14
梅州,19,3,15,0.5,4,49,37,5
绵阳,38,8,17,0.45,11,102,75,3
牡丹江,45,11,25,0.42,10,91,89,2
南昌,28,12,21,0.31,7,88,48,5
南充,45,28,37,0.45,14,141,66,3
南京,74,24,49,0.51,13,178,97,7
